accountName,weekEnding,organicVisits,paidSearchCost,displayCost,premiumDisplayCost,remarketingCost
happyAlpaca,09/28/14,95.99470602,288.3141616,34.78155666,0,31.90789189
happyAlpaca,10/05/14,102.0526892,262.2601392,39.80466208,0,26.211578
happyAlpaca,10/12/14,106.9828753,239.1310726,43.60659755,0,31.58920007
happyAlpaca,10/19/14,94.97032762,299.1364305,36.8410287,0,31.67570876
happyAlpaca,10/26/14,130.9155204,308.7260089,39.71393735,0,32.08053212
happyAlpaca,11/02/14,147.9248125,298.7906839,37.88020901,0,31.9897498
happyAlpaca,11/09/14,124.0481908,239.3225442,34.38302809,0,31.80972476
happyAlpaca,11/16/14,113.076533,286.052401,49.22321204,0,29.5139525
happyAlpaca,11/23/14,84.94860069,270.967619,43.17747406,0,36.58195903
happyAlpaca,11/30/14,89.08144671,253.7449933,35.04828249,0,29.53431709
happyAlpaca,12/07/14,93.06764784,229.1639768,39.69656117,0,29.04710681
happyAlpaca,12/14/14,171.0610504,233.5187514,61.39280311,0,21.03930787
happyAlpaca,12/21/14,177.9739666,290.472782,43.09651661,0,24.39671019
happyAlpaca,12/28/14,144.019736,281.6066783,39.80556137,0,23.27433995
happyAlpaca,01/04/15,184.0202717,276.2295773,45.70831051,0,25.2070245
happyAlpaca,01/11/15,196.0381197,237.1195803,43.01995932,0,23.50579979
happyAlpaca,01/18/15,227.956686,247.8977415,42.52868103,0,20.15315909
happyAlpaca,01/25/15,190.979769,323.4311879,48.85469118,0,28.55336581
happyAlpaca,02/01/15,194.9927069,319.2672385,48.40705003,0,28.49249585
happyAlpaca,02/08/15,202.9718897,293.7263454,50.71394668,0,22.70432475
happyAlpaca,02/15/15,194.0094027,291.4516653,43.19802388,0,23.50188593
happyAlpaca,02/22/15,200.039174,323.1785957,42.98129863,0,24.59579202
happyAlpaca,03/01/15,182.0636189,274.9496948,42.99714754,0,21.98850218
happyAlpaca,03/08/15,207.9849336,271.1320638,40.41683846,0,20.54870879
